Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue,Run_Time_Minutes,Poster_URL
https://www.imdb.com/title/tt26757462/,Hellboy: The Crooked Man,Action,10/8/24,4.5,11K,$20.0M,2000000,99,https://image.tmdb.org/t/p/w500/3ZVv8XpfTbveKaHB4gsBolulmmk.jpg
https://www.imdb.com/title/tt30024043/,The Prosecutor,Action,12/21/24,6.9,1.1K,$40.3M,4000000,117,https://image.tmdb.org/t/p/w500/n3ZnFqp988MWfIkT8OHofEJfjlt.jpg
https://www.imdb.com/title/tt8542964/,Sleeping Dogs,Crime,3/22/24,6.2,20K,0,2100000,110,https://image.tmdb.org/t/p/w500/5DwQhh1HvTo7edaOeMX49NUyZqy.jpg
https://www.imdb.com/title/tt5672290/,The First Omen,Horror,4/5/24,6.5,62K,$30.0M,53800000,119,https://image.tmdb.org/t/p/w500/tnsDyNNkOxYUyjD8CNJoAla6YvY.jpg
https://www.imdb.com/title/tt12616480/,Slingshot,Sci-Fi,8/30/24,5.7,8.2K,0,818300,108,https://image.tmdb.org/t/p/w500/e6cCBe7DQOn9OFdFJ0eyVwSC8hR.jpg
https://www.imdb.com/title/tt28142896/,Weekend in Taipei,Action,11/8/24,5.7,3.8K,0,2900000,100,https://image.tmdb.org/t/p/w500/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg
https://www.imdb.com/title/tt24169886/,The Instigators,Action,8/9/24,6.2,36K,0,11100,101,https://image.tmdb.org/t/p/w500/dnYWsIFDmygCjNg65rY3uBymx81.jpg
https://www.imdb.com/title/tt27866861/,I Want to Talk,Drama,11/22/24,7.1,1.7K,0,14200,122,https://image.tmdb.org/t/p/w500/rqzv36dIy15ZdJvud02mYKKCRyT.jpg
https://www.imdb.com/title/tt19704542/,Sidelined: The QB and Me,Romance,11/29/24,5.9,3.1K,0,2200,99,https://image.tmdb.org/t/p/w500/mSL6truNrWP1Bn9ng1rN0SkMI4f.jpg
https://www.imdb.com/title/tt11762114/,Mean Girls,Comedy,1/12/24,5.6,36K,$36.0M,105000000,112,https://image.tmdb.org/t/p/w500/fbbj3viSUDEGT1fFFMNpHP1iUjw.jpg
