Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes
https://www.imdb.com/title/tt22334258/,Someone Like You,Not_Found,4/2/24,5.7,1.8K,0,$5.9M,118
https://www.imdb.com/title/tt15980138/,Kishkindha Kaandam,Not_Found,9/12/24,8,10K,0,$1.9M,133
https://www.imdb.com/title/tt20048582/,Canary Black,Not_Found,10/24/24,5.4,10K,0,$818.2K,101
https://www.imdb.com/title/tt29141112/,The Devil's Bath,Not_Found,3/8/24,6.6,5.4K,0,$54.3K,121
https://www.imdb.com/title/tt10720352/,Arthur the King,Not_Found,3/15/24,7,33K,0,$40.9M,107
https://www.imdb.com/title/tt26660021/,Aavesham,Not_Found,4/11/24,7.8,26K,0,$3.7M,155
https://www.imdb.com/title/tt4996328/,Ordinary Angels,Not_Found,2/23/24,7.4,15K,$13.0M,$20.6M,118
https://www.imdb.com/title/tt26745321/,Armand,Not_Found,9/27/24,6.2,2K,0,$715.5K,117
https://www.imdb.com/title/tt7340766/,Timestalker,Not_Found,10/11/24,5.5,2.7K,0,$162.9K,89
https://www.imdb.com/title/tt28150132/,Omni Loop,Not_Found,9/20/24,5.5,2.2K,0,$40.3K,112
https://www.imdb.com/title/tt31015278/,My Favourite Cake,Not_Found,7/11/24,7.4,6.2K,0,$1.7M,97
https://www.imdb.com/title/tt24515124/,Winter Spring Summer or Fall,Not_Found,6/6/24,6,321,0,633,97
https://www.imdb.com/title/tt14539318/,The Beast Within,Horror,7/26/24,4.2,4.3K,0,$51.9K,97
https://www.imdb.com/title/tt19811010/,The Remarkable Life of Ibelin,Documentary,10/25/24,8.2,11K,0,$1.3M,103
https://www.imdb.com/title/tt11950888/,Cellar Door,Thriller,11/1/24,5.3,2.8K,0,$39.8K,97
https://www.imdb.com/title/tt11240348/,The Exorcism,Horror,6/21/24,4.2,11K,$22.0M,$12.6M,95
https://www.imdb.com/title/tt2965408/,Lost on a Mountain in Maine,Adventure,11/1/24,6.2,868,0,$1.2M,98
https://www.imdb.com/title/tt27510174/,Stree 2: Sarkate Ka Aatank,Comedy,8/16/24,6.9,40K,0,$7.4M,147
https://www.imdb.com/title/tt23018924/,Thangalaan,Action,8/15/24,6.6,6.4K,0,$504.4K,156
https://www.imdb.com/title/tt8521778/,Bob Marley: One Love,Biography,2/14/24,6.2,34K,0,$180.9M,107
